구 분,,,일 정,비 고
원서접수 (全수험생),,,6. 14.(금) 09:00 ∼ 6. 24.(월) 17:00,
"학교장 추천 명단 입력
(고교별 담당교사)",,,6. 25.(화) 09:00 ∼ 7. 1.(월) 17:00,
"1차
시험",시험일,,7. 27.(토),
,성적확인 및 지원확정,,8. 2.(금) 10:00 ∼ 8. 5.(월) 12:00,
,합격자 발표,,8. 9.(금) 10:00,
"2차시험 등록
(시험일자 선택 및 서류제출)",,,8. 9.(금) 10:00 ∼ 8. 14.(수) 12:00,
AI 면접,,,8. 9.(금) ∼ 8. 22.(목),
"1차시험
추가합격자 발표",,1차,"8. 16.(금) 10:00
· 등록서류 제출 : 8. 16.(금) ∼ 8. 20.(화)
· AI면접 : 8. 16.(금) ~ 8. 22.(목)",
,,2차,"8. 23.(금) 10:00
· 등록서류 제출 : 8. 23.(금) ∼ 8. 27.(화)
· AI면접 : 8. 23.(금) ~ 8. 28.(수)",
2차시험,,,8. 26.(월) ∼ 10. 11.(금),
우선선발 합격자 발표,,,11. 8.(금) 10:00,
종합선발 합격자 발표,,,12. 13.(금) 10:00,
"종합선발
추가합격자 발표",,1차,12. 20.(금) 10:00,
,,2차,12. 27.(금) 10:00,
